problem3


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
   74     257    1.718702e-01   1.298e-06   7.000e-01   4.702e-02   2.983e-03
   75     259    1.718619e-01   1.085e-06   1.000e+00   6.018e-02   5.122e-03
   76     261    1.718491e-01   8.394e-07   1.000e+00   7.605e-02   7.707e-03
   77     264    1.718239e-01   1.731e-06   7.000e-01   1.073e-01   1.144e-02
   78     268    1.717764e-01   3.987e-06   4.900e-01   1.450e-01   1.660e-02
   79     274    1.717252e-01   6.297e-06   2.401e-01   1.447e-01   2.239e-02
   80     281    1.716876e-01   7.404e-06   1.681e-01   1.009e-01   2.627e-02
   81     288    1.716520e-01   8.659e-06   1.681e-01   9.424e-02   2.596e-02
   82     295    1.716217e-01   9.408e-06   1.681e-01   8.309e-02   2.506e-02
   83     302    1.715972e-01   9.560e-06   1.681e-01   7.321e-02   2.377e-02
   84     308    1.715701e-01   1.093e-05   2.401e-01   9.363e-02   2.142e-02
   85     314    1.715512e-01   1.110e-05   2.401e-01   7.916e-02   1.892e-02
   86     319    1.715330e-01   1.260e-05   3.430e-01   9.616e-02   1.532e-02
   87     324    1.715222e-01   1.099e-05   3.430e-01   7.547e-02   1.282e-02
   88     328    1.715129e-01   1.018e-05   4.900e-01   8.947e-02   1.011e-02
   89     332    1.715070e-01   9.694e-06   4.900e-01   7.474e-02   9.338e-03
   90     337    1.715023e-01   1.062e-05   3.430e-01   6.590e-02   1.136e-02

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
   91     341    1.714955e-01   5.248e-06   4.900e-01   8.506e-02   1.467e-02
   92     345    1.714896e-01   4.081e-06   4.900e-01   4.121e-02   1.672e-02
   93     347    1.714715e-01   5.936e-06   1.000e+00   5.113e-02   3.761e-03
   94     349    1.714572e-01   3.797e-07   1.000e+00   5.985e-02   6.978e-03
   95     351    1.714474e-01   2.062e-07   1.000e+00   3.005e-02   8.144e-03
   96     354    1.714254e-01   8.506e-07   7.000e-01   5.103e-02   1.495e-02
   97     356    1.713726e-01   3.416e-06   1.000e+00   1.291e-01   2.632e-02
   98     359    1.713287e-01   9.388e-06   7.000e-01   9.172e-02   3.044e-02
   99     364    1.712859e-01   1.900e-05   3.430e-01   7.406e-02   3.219e-02
  100     370    1.712443e-01   2.751e-05   2.401e-01   7.004e-02   3.363e-02
  101     375    1.711923e-01   5.069e-06   3.430e-01   1.009e-01   3.498e-02
  102     380    1.711576e-01   6.094e-06   3.430e-01   8.842e-02   3.057e-02
  103     384    1.711244e-01   9.144e-06   4.900e-01   1.134e-01   2.198e-02
  104     386    1.710934e-01   1.073e-05   1.000e+00   1.610e-01   8.249e-03
  105     387    1.710914e-01   4.646e-06   1.000e+00   1.885e-02   5.503e-03
  106     389    1.710906e-01   2.366e-08   1.000e+00   1.798e-02   2.864e-03
  107     391    1.710903e-01   5.473e-09   1.000e+00   1.360e-02   6.426e-04
  108     393    1.710898e-01   1.796e-08   1.000e+00   2.171e-02   1.552e-03
  109     395    1.710893e-01   9.528e-09   1.000e+00   1.827e-02   1.344e-03
  110     397    1.710876e-01   6.906e-08   1.000e+00   3.667e-02   1.386e-03
  111     399    1.710835e-01   1.949e-07   1.000e+00   5.633e-02   2.066e-03
  112     402    1.710751e-01   9.322e-07   7.000e-01   7.674e-02   2.463e-03
  113     408    1.710642e-01   1.983e-06   2.401e-01   7.400e-02   4.341e-03
  114     417    1.710518e-01   2.990e-06   8.235e-02   7.211e-02   9.419e-03
  115     427    1.710417e-01   3.442e-06   5.765e-02   5.247e-02   1.469e-02
  116     438    1.710310e-01   3.619e-06   4.035e-02   4.835e-02   2.074e-02
  117     449    1.710181e-01   3.382e-06   4.035e-02   5.455e-02   2.828e-02
  118     459    1.710006e-01   2.979e-06   5.765e-02   7.235e-02   3.853e-02
  119     470    1.709898e-01   3.237e-06   4.035e-02   4.330e-02   4.466e-02
  120     481    1.709794e-01   3.401e-06   4.035e-02   4.039e-02   5.050e-02

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  121     492    1.709690e-01   3.526e-06   4.035e-02   3.848e-02   5.667e-02
  122     503    1.709586e-01   4.050e-06   4.035e-02   3.680e-02   6.282e-02
  123     514    1.709482e-01   4.757e-06   4.035e-02   3.531e-02   6.887e-02
  124     525    1.709378e-01   5.396e-06   4.035e-02   3.398e-02   7.483e-02
  125     536    1.709273e-01   5.970e-06   4.035e-02   3.278e-02   8.071e-02
  126     546    1.709123e-01   7.829e-06   5.765e-02   4.548e-02   8.905e-02
  127     556    1.708974e-01   9.285e-06   5.765e-02   4.344e-02   9.718e-02
  128     566    1.708827e-01   1.045e-05   5.765e-02   4.141e-02   1.051e-01
  129     576    1.708682e-01   1.140e-05   5.765e-02   3.973e-02   1.127e-01
  130     586    1.708537e-01   1.217e-05   5.765e-02   3.833e-02   1.202e-01
  131     596    1.708393e-01   1.280e-05   5.765e-02   3.716e-02   1.275e-01
  132     605    1.708188e-01   1.538e-05   8.235e-02   5.193e-02   1.378e-01
  133     614    1.707988e-01   1.721e-05   8.235e-02   5.011e-02   1.477e-01
  134     623    1.707793e-01   1.851e-05   8.235e-02   4.827e-02   1.573e-01
  135     632    1.707603e-01   1.943e-05   8.235e-02   4.685e-02   1.665e-01
  136     641    1.707418e-01   2.005e-05   8.235e-02   4.575e-02   1.743e-01
  137     649    1.707160e-01   2.365e-05   1.176e-01   6.441e-02   1.766e-01
  138     657    1.706915e-01   2.585e-05   1.176e-01   6.257e-02   1.783e-01
  139     665    1.706683e-01   2.710e-05   1.176e-01   6.050e-02   1.788e-01
  140     673    1.706464e-01   2.772e-05   1.176e-01   5.882e-02   1.781e-01
  141     681    1.706257e-01   2.789e-05   1.176e-01   5.736e-02   1.765e-01
  142     689    1.706062e-01   2.774e-05   1.176e-01   5.598e-02   1.740e-01
  143     697    1.705878e-01   2.736e-05   1.176e-01   5.459e-02   1.708e-01
  144     704    1.705632e-01   3.057e-05   1.681e-01   7.639e-02   1.657e-01
  145     711    1.705409e-01   3.198e-05   1.681e-01   7.339e-02   1.608e-01
  146     718    1.705209e-01   3.223e-05   1.681e-01   6.973e-02   1.555e-01
  147     725    1.705028e-01   3.182e-05   1.681e-01   6.645e-02   1.499e-01
  148     732    1.704866e-01   3.100e-05   1.681e-01   6.351e-02   1.442e-01
  149     739    1.704718e-01   2.996e-05   1.681e-01   6.085e-02   1.385e-01
  150     746    1.704585e-01   2.880e-05   1.681e-01   5.843e-02   1.332e-01

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  151     753    1.704463e-01   2.759e-05   1.681e-01   5.623e-02   1.282e-01
  152     760    1.704353e-01   2.636e-05   1.681e-01   5.422e-02   1.237e-01
  153     767    1.704252e-01   2.514e-05   1.681e-01   5.238e-02   1.196e-01
  154     774    1.704160e-01   2.395e-05   1.681e-01   5.070e-02   1.160e-01
  155     781    1.704075e-01   2.277e-05   1.681e-01   4.914e-02   1.127e-01
  156     788    1.703998e-01   2.163e-05   1.681e-01   4.770e-02   1.098e-01
  157     795    1.703927e-01   2.050e-05   1.681e-01   4.633e-02   1.072e-01
  158     802    1.703862e-01   1.939e-05   1.681e-01   4.503e-02   1.049e-01
  159     809    1.703802e-01   1.830e-05   1.681e-01   4.377e-02   1.026e-01
  160     815    1.703726e-01   1.973e-05   2.401e-01   6.106e-02   9.954e-02
  161     821    1.703659e-01   1.906e-05   2.401e-01   5.817e-02   9.751e-02
  162     827    1.703602e-01   1.774e-05   2.401e-01   5.492e-02   9.428e-02
  163     833    1.703554e-01   1.619e-05   2.401e-01   5.209e-02   9.024e-02
  164     838    1.703495e-01   1.718e-05   3.430e-01   7.079e-02   8.374e-02
  165     842    1.703434e-01   1.719e-05   4.900e-01   9.208e-02   7.531e-02
  166     845    1.703382e-01   6.216e-06   7.000e-01   1.091e-01   5.967e-02
  167     848    1.703357e-01   5.627e-06   7.000e-01   7.843e-02   4.041e-02
  168     850    1.703345e-01   2.692e-06   1.000e+00   7.605e-02   1.568e-02
  169     852    1.703342e-01   1.971e-07   1.000e+00   2.829e-02   4.792e-03
  170     854    1.703340e-01   2.398e-08   1.000e+00   1.764e-02   2.888e-03
  171     856    1.703335e-01   6.423e-08   1.000e+00   2.482e-02   4.863e-03
  172     858    1.703326e-01   3.240e-08   1.000e+00   2.682e-02   5.526e-03
  173     860    1.703311e-01   1.374e-07   1.000e+00   4.008e-02   1.833e-03
  174     863    1.703293e-01   1.422e-07   7.000e-01   4.273e-02   2.801e-03
  175     869    1.703281e-01   2.972e-07   2.401e-01   2.333e-02   2.528e-03
  176     877    1.703268e-01   3.950e-07   1.176e-01   1.753e-02   2.546e-03
  177     885    1.703248e-01   6.541e-07   1.176e-01   2.185e-02   1.915e-03
  178     893    1.703222e-01   9.613e-07   1.176e-01   2.336e-02   3.127e-03
  179     901    1.703190e-01   1.162e-06   1.176e-01   2.330e-02   1.313e-03
  180     908    1.703143e-01   1.470e-06   1.681e-01   3.215e-02   7.735e-04

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  181     914    1.703082e-01   1.501e-06   2.401e-01   4.193e-02   2.382e-03
  182     919    1.703015e-01   1.460e-06   3.430e-01   5.196e-02   3.057e-03
  183     923    1.702954e-01   1.436e-06   4.900e-01   6.086e-02   3.528e-03
  184     927    1.702917e-01   9.973e-07   4.900e-01   4.807e-02   5.710e-03
  185     930    1.702876e-01   1.490e-06   7.000e-01   7.067e-02   1.833e-02
  186     935    1.702859e-01   1.109e-06   3.430e-01   3.268e-02   2.511e-02
  187     942    1.702846e-01   1.206e-06   1.681e-01   2.397e-02   3.027e-02
  188     950    1.702833e-01   1.348e-06   1.176e-01   2.040e-02   3.466e-02
  189     958    1.702819e-01   1.572e-06   1.176e-01   2.161e-02   3.925e-02
  190     966    1.702804e-01   1.765e-06   1.176e-01   2.103e-02   4.365e-02
  191     974    1.702789e-01   1.899e-06   1.176e-01   1.984e-02   4.772e-02
  192     982    1.702774e-01   1.976e-06   1.176e-01   1.852e-02   5.144e-02
  193     990    1.702759e-01   2.002e-06   1.176e-01   1.718e-02   5.482e-02
  194     998    1.702744e-01   1.984e-06   1.176e-01   1.585e-02   5.785e-02
  195    1005    1.702724e-01   2.171e-06   1.681e-01   2.081e-02   6.172e-02
  196    1012    1.702705e-01   2.146e-06   1.681e-01   1.806e-02   6.494e-02
  197    1019    1.702689e-01   2.004e-06   1.681e-01   1.562e-02   6.757e-02
  198    1025    1.702669e-01   1.957e-06   2.401e-01   1.933e-02   7.057e-02
  199    1030    1.702647e-01   2.055e-06   3.430e-01   2.242e-02   7.176e-02
  200    1034    1.702630e-01   1.786e-06   4.900e-01   2.373e-02   5.435e-02
  201    1036    1.702617e-01   8.779e-07   1.000e+00   3.184e-02   2.103e-02
  202    1038    1.702615e-01   3.572e-08   1.000e+00   1.254e-02   7.689e-03
  203    1044    1.702614e-01   4.348e-08   2.401e-01   7.792e-03   4.896e-03
  204    1051    1.702612e-01   5.536e-08   1.681e-01   8.284e-03   2.925e-03
  205    1058    1.702611e-01   6.834e-08   1.681e-01   9.254e-03   1.408e-03
  206    1065    1.702610e-01   7.502e-08   1.681e-01   9.383e-03   4.419e-04
  207    1072    1.702609e-01   7.981e-08   1.681e-01   9.344e-03   1.776e-03
  208    1079    1.702607e-01   8.195e-08   1.681e-01   9.416e-03   3.144e-03
  209    1086    1.702606e-01   8.286e-08   1.681e-01   9.705e-03   4.609e-03
  210    1093    1.702604e-01   8.410e-08   1.681e-01   1.025e-02   6.219e-03

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  211    1100    1.702602e-01   8.680e-08   1.681e-01   1.104e-02   8.003e-03
  212    1107    1.702600e-01   9.178e-08   1.681e-01   1.208e-02   9.980e-03
  213    1114    1.702597e-01   9.951e-08   1.681e-01   1.335e-02   1.216e-02
  214    1121    1.702593e-01   1.100e-07   1.681e-01   1.482e-02   1.456e-02
  215    1128    1.702588e-01   1.227e-07   1.681e-01   1.647e-02   1.722e-02
  216    1135    1.702582e-01   1.359e-07   1.681e-01   1.825e-02   2.015e-02
  217    1141    1.702572e-01   2.031e-07   2.401e-01   2.870e-02   2.474e-02
  218    1147    1.702560e-01   2.060e-07   2.401e-01   2.925e-02   2.961e-02
  219    1153    1.702547e-01   1.834e-07   2.401e-01   3.056e-02   3.439e-02
  220    1158    1.702525e-01   4.147e-07   3.430e-01   4.589e-02   4.071e-02
  221    1163    1.702502e-01   5.866e-07   3.430e-01   4.344e-02   4.547e-02
  222    1167    1.702468e-01   1.247e-06   4.900e-01   6.211e-02   4.973e-02
  223    1171    1.702436e-01   1.167e-06   4.900e-01   5.591e-02   4.986e-02
  224    1176    1.702408e-01   8.074e-07   3.430e-01   4.423e-02   4.622e-02
  225    1184    1.702394e-01   7.371e-07   1.176e-01   2.122e-02   4.308e-02
  226    1193    1.702380e-01   8.898e-07   8.235e-02   2.016e-02   3.940e-02
  227    1203    1.702370e-01   9.480e-07   5.765e-02   1.515e-02   3.484e-02
  228    1212    1.702357e-01   1.113e-06   8.235e-02   2.098e-02   2.171e-02
  229    1221    1.702346e-01   1.123e-06   8.235e-02   1.830e-02   1.140e-02
  230    1229    1.702333e-01   1.123e-06   1.176e-01   2.285e-02   2.865e-03
  231    1236    1.702321e-01   1.375e-06   1.681e-01   2.741e-02   8.661e-03
  232    1242    1.702309e-01   1.790e-06   2.401e-01   3.139e-02   1.525e-02
  233    1247    1.702299e-01   2.128e-06   3.430e-01   3.364e-02   1.925e-02
  234    1251    1.702293e-01   1.990e-06   4.900e-01   3.230e-02   1.540e-02
  235    1253    1.702291e-01   1.522e-06   1.000e+00   3.651e-02   5.975e-03
  236    1254    1.702291e-01   5.378e-07   1.000e+00   5.046e-03   2.609e-03
  237    1256    1.702290e-01   1.283e-08   1.000e+00   9.103e-03   9.426e-04
  238    1258    1.702290e-01   3.024e-10   1.000e+00   4.136e-03   3.618e-04
  239    1260    1.702290e-01   1.921e-09   1.000e+00   9.253e-03   1.712e-04
  240    1262    1.702289e-01   5.254e-09   1.000e+00   1.145e-02   1.085e-03

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  241    1265    1.702288e-01   1.107e-08   7.000e-01   1.369e-02   2.331e-03
  242    1269    1.702285e-01   2.822e-08   4.900e-01   1.849e-02   3.938e-03
  243    1274    1.702280e-01   5.178e-08   3.430e-01   2.296e-02   5.688e-03
  244    1281    1.702276e-01   5.909e-08   1.681e-01   1.873e-02   6.885e-03
  245    1289    1.702270e-01   7.037e-08   1.176e-01   2.091e-02   7.944e-03
  246    1298    1.702264e-01   8.530e-08   8.235e-02   2.022e-02   8.718e-03
  247    1307    1.702256e-01   1.536e-07   8.235e-02   2.529e-02   9.388e-03
  248    1317    1.702250e-01   1.876e-07   5.765e-02   2.008e-02   9.684e-03
  249    1327    1.702242e-01   2.370e-07   5.765e-02   2.183e-02   9.727e-03
  250    1337    1.702234e-01   2.924e-07   5.765e-02   2.240e-02   9.485e-03
  251    1347    1.702227e-01   3.452e-07   5.765e-02   2.220e-02   8.980e-03
  252    1357    1.702219e-01   3.895e-07   5.765e-02   2.146e-02   8.267e-03
  253    1366    1.702210e-01   5.196e-07   8.235e-02   2.909e-02   7.042e-03
