problem6


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
   70         324   -4.774480e-01     4.750e-07     1.176e-01     6.190e-03     3.313e-03  
   71         333   -4.774483e-01     5.024e-07     1.176e-01     6.198e-03     3.445e-03  
   72         342   -4.774487e-01     5.251e-07     1.176e-01     6.178e-03     3.551e-03  
   73         351   -4.774490e-01     5.427e-07     1.176e-01     6.147e-03     3.636e-03  
   74         360   -4.774493e-01     5.557e-07     1.176e-01     6.124e-03     3.706e-03  
   75         369   -4.774496e-01     5.647e-07     1.176e-01     6.116e-03     3.770e-03  
   76         378   -4.774498e-01     5.702e-07     1.176e-01     6.130e-03     3.837e-03  
   77         387   -4.774501e-01     5.727e-07     1.176e-01     6.170e-03     3.914e-03  
   78         396   -4.774503e-01     5.725e-07     1.176e-01     6.235e-03     4.010e-03  
   79         405   -4.774505e-01     5.695e-07     1.176e-01     6.324e-03     4.132e-03  
   80         414   -4.774508e-01     5.635e-07     1.176e-01     6.435e-03     4.288e-03  
   81         423   -4.774510e-01     5.543e-07     1.176e-01     6.565e-03     4.483e-03  
   82         432   -4.774512e-01     5.417e-07     1.176e-01     6.712e-03     4.720e-03  
   83         440   -4.774514e-01     5.768e-07     1.681e-01     9.876e-03     5.130e-03  
   84         448   -4.774517e-01     5.442e-07     1.681e-01     1.005e-02     5.660e-03  
   85         456   -4.774519e-01     4.778e-07     1.681e-01     9.997e-03     6.207e-03  
   86         465   -4.774521e-01     4.234e-07     1.176e-01     7.141e-03     6.630e-03  
   87         474   -4.774522e-01     3.911e-07     1.176e-01     7.475e-03     7.064e-03  
   88         484   -4.774524e-01     3.697e-07     8.235e-02     5.614e-03     7.438e-03  
   89         494   -4.774525e-01     3.681e-07     8.235e-02     5.973e-03     7.848e-03  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   90         504   -4.774527e-01     3.870e-07     8.235e-02     6.422e-03     8.351e-03  
   91         515   -4.774528e-01     3.932e-07     5.765e-02     4.724e-03     8.757e-03  
   92         526   -4.774529e-01     4.005e-07     5.765e-02     4.945e-03     9.203e-03  
   93         537   -4.774531e-01     4.098e-07     5.765e-02     5.207e-03     9.712e-03  
   94         548   -4.774532e-01     4.217e-07     5.765e-02     5.421e-03     1.029e-02  
   95         559   -4.774534e-01     4.362e-07     5.765e-02     5.589e-03     1.092e-02  
   96         570   -4.774535e-01     4.534e-07     5.765e-02     5.724e-03     1.160e-02  
   97         581   -4.774537e-01     4.728e-07     5.765e-02     5.838e-03     1.232e-02  
   98         592   -4.774539e-01     4.944e-07     5.765e-02     5.943e-03     1.308e-02  
   99         603   -4.774541e-01     5.179e-07     5.765e-02     6.046e-03     1.387e-02  
  100         614   -4.774543e-01     5.431e-07     5.765e-02     6.154e-03     1.443e-02  
  101         625   -4.774545e-01     5.703e-07     5.765e-02     6.270e-03     1.556e-02  
  102         636   -4.774547e-01     5.993e-07     5.765e-02     6.397e-03     1.645e-02  
  103         647   -4.774549e-01     6.306e-07     5.765e-02     6.537e-03     1.703e-02  
  104         659   -4.774551e-01     6.412e-07     4.035e-02     4.662e-03     1.745e-02  
  105         671   -4.774553e-01     6.522e-07     4.035e-02     4.802e-03     1.788e-02  
  106         683   -4.774555e-01     6.646e-07     4.035e-02     4.995e-03     1.833e-02  
  107         695   -4.774557e-01     6.791e-07     4.035e-02     5.164e-03     1.879e-02  
  108         707   -4.774559e-01     6.957e-07     4.035e-02     5.313e-03     1.926e-02  
  109         719   -4.774562e-01     7.147e-07     4.035e-02     5.448e-03     2.210e-02  
  110         731   -4.774564e-01     7.359e-07     4.035e-02     5.576e-03     2.308e-02  
  111         743   -4.774567e-01     7.595e-07     4.035e-02     5.703e-03     2.412e-02  
  112         755   -4.774569e-01     7.855e-07     4.035e-02     5.833e-03     2.464e-02  
  113         767   -4.774572e-01     8.139e-07     4.035e-02     5.970e-03     2.635e-02  
  114         779   -4.774576e-01     8.451e-07     4.035e-02     6.117e-03     2.755e-02  
  115         791   -4.774579e-01     8.793e-07     4.035e-02     6.277e-03     2.810e-02  
  116         803   -4.774582e-01     9.169e-07     4.035e-02     6.453e-03     2.867e-02  
  117         815   -4.774586e-01     9.585e-07     4.035e-02     6.647e-03     3.151e-02  
  118         827   -4.774590e-01     1.005e-06     4.035e-02     6.864e-03     3.210e-02  
  119         839   -4.774594e-01     1.056e-06     4.035e-02     7.107e-03     3.272e-02  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  120         851   -4.774599e-01     1.115e-06     4.035e-02     7.381e-03     3.616e-02  
  121         864   -4.774602e-01     1.141e-06     2.825e-02     5.359e-03     3.738e-02  
  122         877   -4.774606e-01     1.171e-06     2.825e-02     5.627e-03     3.869e-02  
  123         890   -4.774610e-01     1.208e-06     2.825e-02     5.929e-03     4.013e-02  
  124         903   -4.774614e-01     1.251e-06     2.825e-02     6.232e-03     4.172e-02  
  125         916   -4.774619e-01     1.303e-06     2.825e-02     6.543e-03     4.346e-02  
  126         929   -4.774624e-01     1.365e-06     2.825e-02     6.871e-03     4.536e-02  
  127         942   -4.774630e-01     1.437e-06     2.825e-02     7.230e-03     4.743e-02  
  128         956   -4.774634e-01     1.474e-06     1.977e-02     5.317e-03     4.788e-02  
  129         970   -4.774639e-01     1.521e-06     1.977e-02     5.663e-03     5.077e-02  
  130         984   -4.774644e-01     1.578e-06     1.977e-02     6.033e-03     5.127e-02  
  131         998   -4.774649e-01     1.648e-06     1.977e-02     6.428e-03     5.180e-02  
  132        1013   -4.774654e-01     1.687e-06     1.384e-02     4.783e-03     5.220e-02  
  133        1028   -4.774658e-01     1.740e-06     1.384e-02     5.140e-03     5.263e-02  
  134        1043   -4.774663e-01     1.810e-06     1.384e-02     5.470e-03     5.309e-02  
  135        1059   -4.774667e-01     1.847e-06     9.689e-03     4.045e-03     5.343e-02  
  136        1075   -4.774671e-01     1.896e-06     9.689e-03     4.326e-03     5.379e-02  
  137        1091   -4.774676e-01     1.956e-06     9.689e-03     4.575e-03     5.418e-02  
  138        1108   -4.774679e-01     1.986e-06     6.782e-03     3.378e-03     5.446e-02  
  139        1125   -4.774683e-01     2.026e-06     6.782e-03     3.625e-03     5.477e-02  
  140        1142   -4.774687e-01     2.075e-06     6.782e-03     3.844e-03     5.509e-02  
  141        1160   -4.774690e-01     2.100e-06     4.748e-03     2.851e-03     5.533e-02  
  142        1178   -4.774693e-01     2.134e-06     4.748e-03     3.082e-03     5.559e-02  
  143        1196   -4.774696e-01     2.167e-06     4.748e-03     3.096e-03     5.586e-02  
  144        1214   -4.774700e-01     2.198e-06     4.748e-03     3.067e-03     5.612e-02  
  145        1232   -4.774703e-01     2.227e-06     4.748e-03     3.040e-03     5.638e-02  
  146        1250   -4.774706e-01     2.254e-06     4.748e-03     3.015e-03     5.663e-02  
  147        1268   -4.774709e-01     2.280e-06     4.748e-03     2.990e-03     5.689e-02  
  148        1286   -4.774713e-01     2.304e-06     4.748e-03     2.967e-03     5.715e-02  
  149        1303   -4.774718e-01     2.359e-06     6.782e-03     4.202e-03     5.751e-02  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  150        1320   -4.774722e-01     2.410e-06     6.782e-03     4.153e-03     5.787e-02  
  151        1337   -4.774727e-01     2.458e-06     6.782e-03     4.109e-03     5.822e-02  
  152        1354   -4.774732e-01     2.504e-06     6.782e-03     4.066e-03     5.857e-02  
