problem2bdu


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
   73     120    1.262929e-01   8.508e-03   1.000e+00   6.746e-01   4.626e-02
   74     121    1.262638e-01   2.563e-04   1.000e+00   6.969e-02   2.654e-02
   75     123    1.261834e-01   8.531e-05   1.000e+00   3.070e-01   1.611e-02
   76     124    1.261698e-01   8.535e-05   1.000e+00   4.657e-02   1.286e-02
   77     126    1.261141e-01   2.356e-05   1.000e+00   1.833e-01   2.304e-02
   78     128    1.260410e-01   2.098e-05   1.000e+00   2.024e-01   3.296e-02
   79     130    1.258865e-01   5.560e-04   1.000e+00   4.565e-01   5.640e-02
   80     132    1.257380e-01   1.271e-03   1.000e+00   5.383e-01   6.387e-02
   81     134    1.256569e-01   4.316e-04   1.000e+00   3.752e-01   5.051e-02
   82     136    1.256156e-01   1.591e-05   1.000e+00   1.500e-01   4.155e-02
   83     138    1.255502e-01   4.089e-05   1.000e+00   1.371e-01   2.269e-02
   84     140    1.254819e-01   5.908e-05   1.000e+00   1.607e-01   1.399e-02
   85     142    1.254163e-01   1.822e-04   1.000e+00   2.064e-01   5.671e-02
   86     144    1.253290e-01   2.353e-04   1.000e+00   2.632e-01   9.192e-02
   87     146    1.252443e-01   3.140e-04   1.000e+00   3.467e-01   7.730e-02
   88     148    1.252208e-01   1.097e-05   1.000e+00   1.318e-01   2.726e-02
   89     150    1.252118e-01   1.751e-06   1.000e+00   4.084e-02   6.428e-03
   90     152    1.252087e-01   1.343e-06   1.000e+00   4.232e-02   1.456e-03

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
   91     154    1.252082e-01   4.418e-08   1.000e+00   1.958e-02   2.844e-04
   92     156    1.252081e-01   3.237e-09   1.000e+00   7.884e-03   4.850e-04
   93     157    1.252079e-01   1.005e-06   1.000e+00   5.035e-03   5.260e-04
   94     158    1.252076e-01   1.544e-06   1.000e+00   6.645e-03   7.316e-04
   95     159    1.252067e-01   5.514e-06   1.000e+00   1.234e-02   1.250e-03
   96     161    1.252050e-01   5.674e-08   1.000e+00   2.769e-02   2.298e-03
   97     163    1.252005e-01   4.650e-07   1.000e+00   6.409e-02   4.162e-03
   98     165    1.251918e-01   3.956e-06   1.000e+00   1.312e-01   6.829e-03
   99     167    1.251800e-01   2.611e-05   1.000e+00   1.877e-01   8.410e-03
  100     169    1.251719e-01   1.416e-05   1.000e+00   1.352e-01   6.802e-03
  101     170    1.251681e-01   1.225e-05   1.000e+00   2.804e-02   2.354e-03
  102     173    1.251687e-01   6.401e-06   4.900e-01   9.697e-03   1.436e-03
  103     177    1.251689e-01   4.944e-06   3.430e-01   5.829e-03   9.677e-04
  104     180    1.251692e-01   3.721e-06   4.900e-01   5.994e-03   4.717e-04
  105     181    1.251694e-01   1.648e-06   1.000e+00   6.470e-03   1.807e-04
  106     182    1.251694e-01   3.994e-08   1.000e+00   9.445e-04   1.564e-04
  107     183    1.251694e-01   3.746e-07   1.000e+00   2.652e-03   2.746e-04
  108     184    1.251693e-01   5.236e-06   1.000e+00   9.557e-03   1.069e-03
  109     185    1.251687e-01   7.677e-05   1.000e+00   3.701e-02   3.619e-03
  110     186    1.251679e-01   1.242e-04   1.000e+00   5.063e-02   6.472e-03
  111     188    1.251651e-01   1.908e-05   1.000e+00   1.659e-01   1.361e-02
  112     190    1.251587e-01   6.182e-04   1.000e+00   2.869e-01   2.537e-02
  113     192    1.251400e-01   1.644e-03   1.000e+00   5.018e-01   4.479e-02
  114     195    1.251088e-01   3.275e-03   7.000e-01   5.733e-01   5.916e-02
  115     197    1.250571e-01   3.016e-03   1.000e+00   7.412e-01   5.433e-02
  116     198    1.250046e-01   8.985e-03   1.000e+00   6.633e-01   2.408e-02
  117     199    1.250122e-01   1.239e-04   1.000e+00   1.708e-01   8.482e-03
  118     200    1.250096e-01   2.011e-04   1.000e+00   1.486e-01   5.445e-03
  119     201    1.250107e-01   4.173e-05   1.000e+00   5.796e-02   5.421e-03
  120     202    1.250108e-01   6.399e-06   1.000e+00   1.211e-02   2.022e-03

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  121     203    1.250108e-01   2.172e-06   1.000e+00   5.642e-03   7.910e-04
  122     205    1.250106e-01   4.040e-08   1.000e+00   2.017e-02   6.170e-04
  123     207    1.250103e-01   4.655e-07   1.000e+00   3.435e-02   1.501e-03
  124     209    1.250099e-01   1.397e-06   1.000e+00   5.478e-02   2.250e-03
  125     211    1.250097e-01   1.339e-06   1.000e+00   4.498e-02   1.827e-03
  126     213    1.250096e-01   7.280e-08   1.000e+00   1.892e-02   6.737e-04
  127     214    1.250096e-01   6.168e-07   1.000e+00   5.574e-03   1.588e-04
  128     215    1.250096e-01   7.766e-07   1.000e+00   4.547e-03   1.016e-04
  129     216    1.250095e-01   2.815e-06   1.000e+00   8.802e-03   4.482e-04
  130     217    1.250094e-01   5.350e-06   1.000e+00   1.339e-02   1.015e-03
  131     218    1.250091e-01   9.469e-06   1.000e+00   2.302e-02   1.903e-03
  132     219    1.250083e-01   2.179e-06   1.000e+00   4.078e-02   3.185e-03
  133     221    1.250068e-01   4.452e-06   1.000e+00   8.279e-02   4.858e-03
  134     223    1.250025e-01   5.476e-05   1.000e+00   1.839e-01   6.274e-03
  135     227    1.249979e-01   1.187e-04   4.900e-01   1.391e-01   5.929e-03
  136     232    1.249916e-01   2.157e-04   3.430e-01   1.448e-01   4.325e-03
  137     236    1.249831e-01   3.899e-04   4.900e-01   1.922e-01   4.730e-03
  138     239    1.249766e-01   3.768e-04   7.000e-01   1.937e-01   4.495e-03
  139     241    1.249731e-01   1.058e-04   1.000e+00   1.608e-01   3.370e-03
  140     242    1.249717e-01   8.992e-05   1.000e+00   4.187e-02   3.221e-03
  141     244    1.249711e-01   6.809e-06   1.000e+00   5.987e-02   1.243e-03
