problem7
                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
   73     147   -2.124967e+01   1.347e-03   1.000e+00   3.200e-01   8.174e-01
   74     149   -2.125061e+01   3.823e-04   1.000e+00   2.544e-01   3.886e-01
   75     151   -2.125200e+01   2.124e-04   1.000e+00   2.576e-01   5.449e-02
   76     153   -2.125431e+01   2.308e-04   1.000e+00   3.224e-01   1.431e-01
   77     155   -2.125793e+01   7.075e-04   1.000e+00   4.682e-01   1.573e-01
   78     157   -2.126155e+01   1.278e-03   1.000e+00   5.259e-01   1.839e-01
   79     159   -2.126431e+01   1.059e-03   1.000e+00   4.509e-01   1.293e-01
   80     161   -2.126706e+01   9.636e-04   1.000e+00   4.090e-01   3.456e-01
   81     163   -2.127208e+01   1.724e-03   1.000e+00   6.166e-01   6.342e-01
   82     165   -2.128079e+01   2.352e-03   1.000e+00   8.981e-01   9.603e-01
   83     167   -2.129500e+01   5.561e-03   1.000e+00   1.531e+00   1.265e+00
   84     169   -2.130638e+01   7.854e-03   1.000e+00   1.519e+00   1.331e+00
   85     171   -2.131535e+01   5.001e-03   1.000e+00   1.169e+00   9.241e-01
   86     173   -2.132402e+01   2.532e-03   1.000e+00   1.001e+00   5.248e-01
   87     175   -2.133839e+01   5.448e-03   1.000e+00   1.497e+00   5.640e-01
   88     177   -2.135089e+01   3.462e-03   1.000e+00   6.447e-01   7.839e-01
   89     179   -2.136787e+01   6.813e-03   1.000e+00   9.006e-01   4.928e-01
   90     181   -2.137636e+01   5.566e-03   1.000e+00   1.138e+00   6.635e-01

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
   91     183   -2.140302e+01   2.216e-02   1.000e+00   2.570e+00   7.531e-01
   92     185   -2.141467e+01   2.008e-03   1.000e+00   5.860e-01   8.957e-01
   93     187   -2.144010e+01   8.401e-03   1.000e+00   7.299e-01   4.161e-01
   94     189   -2.143761e+01   8.036e-04   1.000e+00   4.142e-01   2.717e-01
   95     191   -2.145447e+01   3.034e-03   1.000e+00   9.863e-01   3.636e-01
   96     193   -2.145995e+01   7.142e-04   1.000e+00   2.783e-01   8.103e-01
   97     195   -2.147651e+01   2.663e-03   1.000e+00   7.926e-01   3.323e-01
   98     197   -2.148935e+01   3.065e-03   1.000e+00   8.957e-01   4.906e-01
   99     199   -2.149427e+01   9.239e-04   1.000e+00   4.029e-01   5.228e-01
  100     201   -2.150656e+01   3.702e-03   1.000e+00   5.346e-01   3.256e-01
  101     203   -2.151666e+01   8.455e-03   1.000e+00   7.758e-01   4.264e-01
  102     205   -2.153000e+01   1.500e-02   1.000e+00   9.784e-01   1.163e+00
  103     207   -2.154171e+01   1.049e-03   1.000e+00   4.431e-01   1.299e+00
  104     209   -2.155081e+01   2.335e-03   1.000e+00   5.831e-01   6.285e-01
  105     211   -2.155782e+01   5.318e-03   1.000e+00   7.400e-01   4.154e-01
  106     213   -2.156631e+01   5.631e-03   1.000e+00   7.033e-01   7.891e-01
  107     215   -2.158473e+01   1.072e-02   1.000e+00   1.049e+00   9.627e-01
  108     217   -2.159272e+01   1.977e-03   1.000e+00   3.109e-01   6.202e-01
  109     219   -2.159320e+01   5.433e-04   1.000e+00   1.137e-01   2.245e-01
  110     221   -2.159842e+01   2.089e-03   1.000e+00   2.701e-01   2.883e-01
  111     223   -2.159897e+01   4.738e-04   1.000e+00   1.794e-01   2.930e-01
  112     225   -2.160774e+01   3.978e-03   1.000e+00   6.462e-01   8.600e-01
  113     227   -2.162115e+01   1.431e-02   1.000e+00   1.326e+00   1.276e+00
  114     229   -2.162408e+01   3.694e-03   1.000e+00   8.265e-01   1.133e+00
  115     231   -2.163168e+01   8.398e-04   1.000e+00   5.485e-01   6.941e-01
  116     233   -2.164165e+01   4.727e-03   1.000e+00   3.082e-01   4.004e-01
  117     235   -2.164141e+01   9.336e-04   1.000e+00   1.667e-01   3.981e-01
  118     237   -2.164914e+01   3.193e-03   1.000e+00   4.916e-01   4.161e-01
  119     239   -2.164931e+01   5.067e-04   1.000e+00   2.945e-01   4.222e-01
  120     241   -2.165298e+01   9.608e-04   1.000e+00   3.876e-01   3.915e-01

                                                          Norm of First-order
