problem5


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
    0           1   -6.029764e-01     6.375e-04     1.000e+00     0.000e+00     1.628e+00  
    1           3   -6.035739e-01     1.757e-05     1.000e+00     2.479e-02     1.208e-02  
    2           6   -6.058347e-01     2.824e-06     1.000e+00     1.163e-01     8.205e-03  
    3           9   -6.083534e-01     1.612e-05     1.000e+00     2.685e-01     7.732e-03  
    4          12   -6.085463e-01     3.123e-07     1.000e+00     6.673e-02     7.418e-03  
    5          15   -6.086778e-01     4.507e-08     1.000e+00     5.029e-02     7.118e-03  
    6          18   -6.089438e-01     3.661e-06     1.000e+00     8.705e-02     6.418e-03  
    7          21   -6.094077e-01     5.111e-05     1.000e+00     1.419e-01     4.810e-03  
    8          24   -6.099172e-01     1.539e-04     1.000e+00     1.539e-01     4.465e-03  
    9          27   -6.102584e-01     4.042e-05     1.000e+00     9.508e-02     3.870e-03  
   10          30   -6.103701e-01     2.733e-07     1.000e+00     6.717e-02     1.625e-03  
   11          33   -6.103769e-01     7.417e-09     1.000e+00     1.535e-02     1.041e-03  
   12          36   -6.103846e-01     1.596e-08     1.000e+00     1.214e-02     8.817e-04  
   13          39   -6.104045e-01     6.268e-08     1.000e+00     2.283e-02     1.862e-03  
   14          42   -6.104347e-01     1.897e-06     1.000e+00     3.230e-02     3.066e-03  
   15          46   -6.104592e-01     8.535e-06     7.000e-01     2.980e-02     3.434e-03  
   16          50   -6.104758e-01     1.248e-05     7.000e-01     3.036e-02     2.678e-03  
   17          53   -6.104811e-01     2.309e-06     1.000e+00     2.268e-02     1.087e-03  
   18          56   -6.104819e-01     5.049e-09     1.000e+00     4.227e-03     5.454e-04  
   19          59   -6.104839e-01     5.516e-08     1.000e+00     8.506e-03     3.737e-04  
   20          62   -6.104871e-01     4.591e-07     1.000e+00     1.053e-02     5.426e-04  
   21          69   -6.104894e-01     6.682e-07     2.401e-01     5.992e-03     5.474e-04  
   22          80   -6.104910e-01     8.198e-07     5.765e-02     3.521e-03     5.047e-04  
   23          93   -6.104923e-01     9.504e-07     2.825e-02     2.681e-03     5.202e-04  
   24         107   -6.104935e-01     1.064e-06     1.977e-02     2.303e-03     5.573e-04  
   25         121   -6.104948e-01     1.217e-06     1.977e-02     2.529e-03     5.877e-04  
   26         135   -6.104962e-01     1.388e-06     1.977e-02     2.630e-03     6.106e-04  
   27         149   -6.104976e-01     1.564e-06     1.977e-02     2.674e-03     6.277e-04  
   28         163   -6.104991e-01     1.740e-06     1.977e-02     2.696e-03     6.458e-04  
   29         177   -6.105005e-01     1.914e-06     1.977e-02     2.709e-03     7.397e-04  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   30         191   -6.105018e-01     2.085e-06     1.977e-02     2.720e-03     8.324e-04  
   31         205   -6.105032e-01     2.255e-06     1.977e-02     2.731e-03     9.261e-04  
   32         219   -6.105046e-01     2.423e-06     1.977e-02     2.743e-03     1.023e-03  
   33         233   -6.105060e-01     2.590e-06     1.977e-02     2.757e-03     1.123e-03  
   34         247   -6.105073e-01     2.756e-06     1.977e-02     2.771e-03     1.229e-03  
   35         261   -6.105086e-01     2.921e-06     1.977e-02     2.786e-03     1.339e-03  
   36         275   -6.105100e-01     3.085e-06     1.977e-02     2.801e-03     1.456e-03  
   37         289   -6.105113e-01     3.250e-06     1.977e-02     2.816e-03     1.579e-03  
   38         303   -6.105126e-01     3.413e-06     1.977e-02     2.831e-03     1.708e-03  
   39         317   -6.105139e-01     3.575e-06     1.977e-02     2.845e-03     1.843e-03  
   40         331   -6.105152e-01     3.736e-06     1.977e-02     2.858e-03     1.984e-03  
   41         345   -6.105164e-01     3.896e-06     1.977e-02     2.871e-03     2.132e-03  
   42         359   -6.105177e-01     4.053e-06     1.977e-02     2.883e-03     2.285e-03  
   43         373   -6.105189e-01     4.208e-06     1.977e-02     2.894e-03     2.444e-03  
   44         387   -6.105202e-01     4.361e-06     1.977e-02     2.903e-03     2.609e-03  
   45         401   -6.105214e-01     4.511e-06     1.977e-02     2.911e-03     2.779e-03  
   46         415   -6.105226e-01     4.658e-06     1.977e-02     2.918e-03     2.954e-03  
   47         429   -6.105238e-01     4.801e-06     1.977e-02     2.924e-03     3.134e-03  
   48         443   -6.105250e-01     4.940e-06     1.977e-02     2.928e-03     3.319e-03  
   49         457   -6.105262e-01     5.076e-06     1.977e-02     2.932e-03     3.508e-03  
   50         471   -6.105274e-01     5.206e-06     1.977e-02     2.933e-03     3.701e-03  
   51         485   -6.105286e-01     5.333e-06     1.977e-02     2.934e-03     3.898e-03  
   52         499   -6.105297e-01     5.454e-06     1.977e-02     2.933e-03     4.098e-03  
   53         513   -6.105309e-01     5.571e-06     1.977e-02     2.930e-03     4.301e-03  
   54         527   -6.105320e-01     5.682e-06     1.977e-02     2.927e-03     4.508e-03  
   55         541   -6.105331e-01     5.788e-06     1.977e-02     2.922e-03     4.716e-03  
   56         555   -6.105342e-01     5.888e-06     1.977e-02     2.917e-03     4.927e-03  
   57         569   -6.105353e-01     5.983e-06     1.977e-02     2.910e-03     5.140e-03  
   58         583   -6.105364e-01     6.072e-06     1.977e-02     2.902e-03     5.354e-03  
   59         597   -6.105375e-01     6.156e-06     1.977e-02     2.894e-03     5.570e-03  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   60         611   -6.105386e-01     6.234e-06     1.977e-02     2.884e-03     5.787e-03  
   61         625   -6.105396e-01     6.306e-06     1.977e-02     2.874e-03     6.004e-03  
   62         639   -6.105407e-01     6.373e-06     1.977e-02     2.863e-03     6.223e-03  
   63         653   -6.105417e-01     6.434e-06     1.977e-02     2.851e-03     6.442e-03  
   64         667   -6.105427e-01     6.490e-06     1.977e-02     2.839e-03     6.660e-03  
   65         681   -6.105437e-01     6.541e-06     1.977e-02     2.827e-03     6.879e-03  
   66         695   -6.105447e-01     6.586e-06     1.977e-02     2.814e-03     7.098e-03  
   67         709   -6.105457e-01     6.627e-06     1.977e-02     2.800e-03     7.317e-03  
   68         722   -6.105471e-01     6.783e-06     2.825e-02     3.985e-03     7.629e-03  
   69         735   -6.105485e-01     6.922e-06     2.825e-02     3.948e-03     7.942e-03  
   70         748   -6.105498e-01     7.041e-06     2.825e-02     3.894e-03     8.247e-03  
   71         761   -6.105511e-01     7.141e-06     2.825e-02     3.843e-03     8.546e-03  
   72         774   -6.105523e-01     7.224e-06     2.825e-02     3.796e-03     8.838e-03  
   73         787   -6.105536e-01     7.292e-06     2.825e-02     3.750e-03     9.123e-03  
   74         800   -6.105548e-01     7.346e-06     2.825e-02     3.707e-03     9.401e-03  
   75         813   -6.105560e-01     7.387e-06     2.825e-02     3.667e-03     9.673e-03  
   76         825   -6.105576e-01     7.580e-06     4.035e-02     5.190e-03     1.005e-02  
   77         837   -6.105592e-01     7.741e-06     4.035e-02     5.114e-03     1.043e-02  
   78         845   -6.105653e-01     1.468e-05     1.681e-01     2.119e-02     1.200e-02  
   79         857   -6.105666e-01     1.444e-05     4.035e-02     4.585e-03     1.235e-02  
   80         867   -6.105689e-01     1.441e-05     8.235e-02     8.699e-03     1.280e-02  
   81         877   -6.105711e-01     1.434e-05     8.235e-02     8.543e-03     1.325e-02  
   82         885   -6.105750e-01     1.664e-05     1.681e-01     1.693e-02     1.410e-02  
   83         894   -6.105774e-01     1.655e-05     1.176e-01     1.093e-02     1.465e-02  
   84         902   -6.105803e-01     1.677e-05     1.681e-01     1.443e-02     1.517e-02  
   85         910   -6.105827e-01     1.641e-05     1.681e-01     1.343e-02     1.563e-02  
   86         917   -6.105855e-01     1.653e-05     2.401e-01     1.772e-02     1.615e-02  
   87         924   -6.105877e-01     1.544e-05     2.401e-01     1.575e-02     1.659e-02  
   88         931   -6.105894e-01     1.341e-05     2.401e-01     1.391e-02     1.688e-02  
   89         938   -6.105909e-01     1.118e-05     2.401e-01     1.277e-02     1.715e-02  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
   90         945   -6.105921e-01     9.002e-06     2.401e-01     1.213e-02     1.748e-02  
   91         952   -6.105933e-01     7.469e-06     2.401e-01     1.184e-02     1.791e-02  
   92         959   -6.105945e-01     8.363e-06     2.401e-01     1.181e-02     1.846e-02  
   93         967   -6.105954e-01     7.955e-06     1.681e-01     8.310e-03     1.892e-02  
   94         975   -6.105965e-01     8.149e-06     1.681e-01     8.936e-03     1.948e-02  
   95         984   -6.105973e-01     7.880e-06     1.176e-01     6.682e-03     1.995e-02  
   96         993   -6.105983e-01     7.976e-06     1.176e-01     7.189e-03     2.048e-02  
   97        1003   -6.105992e-01     7.743e-06     8.235e-02     5.295e-03     2.089e-02  
   98        1013   -6.106002e-01     7.669e-06     8.235e-02     5.548e-03     2.131e-02  
   99        1023   -6.106013e-01     7.746e-06     8.235e-02     5.761e-03     2.176e-02  
  100        1033   -6.106026e-01     7.936e-06     8.235e-02     5.886e-03     2.223e-02  
  101        1043   -6.106039e-01     8.208e-06     8.235e-02     5.954e-03     2.273e-02  
  102        1054   -6.106049e-01     8.055e-06     5.765e-02     4.149e-03     2.311e-02  
  103        1065   -6.106060e-01     7.941e-06     5.765e-02     4.161e-03     2.348e-02  
  104        1076   -6.106072e-01     7.869e-06     5.765e-02     4.204e-03     2.388e-02  
  105        1087   -6.106085e-01     7.835e-06     5.765e-02     4.240e-03     2.433e-02  
  106        1098   -6.106098e-01     7.833e-06     5.765e-02     4.267e-03     2.485e-02  
  107        1109   -6.106113e-01     7.854e-06     5.765e-02     4.283e-03     2.537e-02  
  108        1120   -6.106127e-01     7.888e-06     5.765e-02     4.283e-03     2.589e-02  
  109        1131   -6.106143e-01     7.927e-06     5.765e-02     4.268e-03     2.640e-02  
  110        1142   -6.106159e-01     7.956e-06     5.765e-02     4.239e-03     2.689e-02  
  111        1153   -6.106176e-01     7.966e-06     5.765e-02     4.200e-03     2.737e-02  
  112        1164   -6.106193e-01     7.953e-06     5.765e-02     4.161e-03     2.784e-02  
  113        1175   -6.106211e-01     7.918e-06     5.765e-02     4.128e-03     2.828e-02  
  114        1186   -6.106230e-01     7.858e-06     5.765e-02     4.104e-03     2.871e-02  
  115        1197   -6.106249e-01     7.767e-06     5.765e-02     4.089e-03     2.913e-02  
  116        1208   -6.106269e-01     7.643e-06     5.765e-02     4.087e-03     2.952e-02  
  117        1218   -6.106298e-01     7.854e-06     8.235e-02     5.895e-03     3.008e-02  
  118        1228   -6.106326e-01     7.872e-06     8.235e-02     5.830e-03     3.062e-02  
  119        1238   -6.106354e-01     7.708e-06     8.235e-02     5.771e-03     3.112e-02  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  120        1247   -6.106394e-01     7.849e-06     1.176e-01     8.326e-03     3.184e-02  
  121        1255   -6.106448e-01     8.068e-06     1.681e-01     1.171e-02     3.284e-02  
  122        1260   -6.106575e-01     5.304e-06     4.900e-01     3.280e-02     3.574e-02  
  123        1268   -6.106606e-01     6.060e-06     1.681e-01     9.452e-03     3.690e-02  
  124        1277   -6.106628e-01     5.768e-06     1.176e-01     6.926e-03     3.764e-02  
  125        1286   -6.106650e-01     5.677e-06     1.176e-01     7.353e-03     3.854e-02  
  126        1295   -6.106672e-01     5.473e-06     1.176e-01     7.420e-03     3.938e-02  
  127        1304   -6.106693e-01     5.347e-06     1.176e-01     7.524e-03     3.781e-02  
  128        1313   -6.106712e-01     5.145e-06     1.176e-01     7.424e-03     3.539e-02  
  129        1322   -6.106730e-01     4.947e-06     1.176e-01     7.290e-03     3.332e-02  
  130        1331   -6.106746e-01     4.712e-06     1.176e-01     7.069e-03     3.116e-02  
  131        1340   -6.106761e-01     4.469e-06     1.176e-01     6.818e-03     2.919e-02  
  132        1348   -6.106779e-01     4.432e-06     1.681e-01     9.346e-03     2.648e-02  
  133        1356   -6.106795e-01     4.287e-06     1.681e-01     8.679e-03     2.425e-02  
  134        1364   -6.106808e-01     4.057e-06     1.681e-01     8.045e-03     2.221e-02  
  135        1372   -6.106819e-01     3.796e-06     1.681e-01     7.496e-03     2.042e-02  
  136        1380   -6.106828e-01     3.688e-06     1.681e-01     7.038e-03     1.887e-02  
  137        1388   -6.106837e-01     3.552e-06     1.681e-01     6.672e-03     1.758e-02  
  138        1396   -6.106844e-01     3.410e-06     1.681e-01     6.392e-03     1.653e-02  
  139        1404   -6.106852e-01     3.281e-06     1.681e-01     6.186e-03     1.570e-02  
  140        1412   -6.106858e-01     3.172e-06     1.681e-01     6.041e-03     1.507e-02  
  141        1420   -6.106865e-01     3.088e-06     1.681e-01     5.941e-03     1.462e-02  
  142        1428   -6.106871e-01     3.029e-06     1.681e-01     5.866e-03     1.432e-02  
  143        1436   -6.106877e-01     2.990e-06     1.681e-01     5.799e-03     1.414e-02  
  144        1444   -6.106884e-01     2.962e-06     1.681e-01     5.723e-03     1.405e-02  
  145        1452   -6.106890e-01     2.935e-06     1.681e-01     5.627e-03     1.401e-02  
  146        1460   -6.106896e-01     2.898e-06     1.681e-01     5.502e-03     1.398e-02  
  147        1468   -6.106903e-01     2.839e-06     1.681e-01     5.343e-03     1.393e-02  
  148        1476   -6.106909e-01     2.748e-06     1.681e-01     5.151e-03     1.381e-02  
  149        1484   -6.106915e-01     2.623e-06     1.681e-01     4.931e-03     1.361e-02  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  150        1492   -6.106921e-01     2.461e-06     1.681e-01     4.690e-03     1.329e-02  
  151        1499   -6.106929e-01     2.507e-06     2.401e-01     6.345e-03     1.264e-02  
  152        1506   -6.106936e-01     2.319e-06     2.401e-01     5.637e-03     1.191e-02  
  153        1512   -6.106943e-01     2.412e-06     3.430e-01     7.204e-03     1.061e-02  
  154        1517   -6.106950e-01     2.781e-06     4.900e-01     8.507e-03     8.689e-03  
  155        1521   -6.106955e-01     2.266e-06     7.000e-01     8.922e-03     6.334e-03  
  156        1524   -6.106957e-01     2.556e-07     1.000e+00     5.966e-03     3.745e-03  
  157        1527   -6.106959e-01     1.260e-09     1.000e+00     2.370e-03     2.416e-03  
  158        1530   -6.106962e-01     3.968e-08     1.000e+00     4.997e-03     2.495e-03  
  159        1533   -6.106964e-01     4.462e-09     1.000e+00     2.373e-03     1.822e-03  
  160        1536   -6.106967e-01     4.458e-09     1.000e+00     4.202e-03     4.418e-04  
  161        1540   -6.106969e-01     2.110e-08     7.000e-01     4.403e-03     3.050e-04  
  162        1547   -6.106970e-01     2.654e-08     2.401e-01     2.573e-03     5.357e-04  
  163        1556   -6.106971e-01     2.996e-08     1.176e-01     1.894e-03     7.434e-04  
  164        1565   -6.106972e-01     3.795e-08     1.176e-01     2.353e-03     9.833e-04  
  165        1574   -6.106973e-01     4.988e-08     1.176e-01     2.615e-03     1.197e-03  
  166        1583   -6.106974e-01     6.223e-08     1.176e-01     2.791e-03     1.429e-03  
  167        1592   -6.106975e-01     7.616e-08     1.176e-01     2.939e-03     1.692e-03  
  168        1601   -6.106977e-01     9.067e-08     1.176e-01     3.085e-03     2.005e-03  
  169        1609   -6.106979e-01     1.257e-07     1.681e-01     4.643e-03     2.550e-03  
  170        1618   -6.106980e-01     1.388e-07     1.176e-01     3.258e-03     2.980e-03  
  171        1626   -6.106983e-01     1.754e-07     1.681e-01     4.959e-03     3.669e-03  
  172        1635   -6.106985e-01     1.908e-07     1.176e-01     3.551e-03     4.159e-03  
  173        1644   -6.106987e-01     2.092e-07     1.176e-01     3.833e-03     5.080e-03  
  174        1653   -6.106989e-01     2.344e-07     1.176e-01     4.150e-03     5.638e-03  
  175        1662   -6.106992e-01     2.647e-07     1.176e-01     4.409e-03     6.214e-03  
  176        1671   -6.106996e-01     2.966e-07     1.176e-01     4.603e-03     6.795e-03  
  177        1681   -6.106998e-01     3.019e-07     8.235e-02     3.308e-03     9.563e-03  
  178        1691   -6.107001e-01     3.038e-07     8.235e-02     3.510e-03     1.072e-02  
  179        1701   -6.107005e-01     3.018e-07     8.235e-02     3.646e-03     1.200e-02  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  180        1711   -6.107009e-01     2.941e-07     8.235e-02     3.684e-03     1.329e-02  
  181        1721   -6.107013e-01     2.807e-07     8.235e-02     3.666e-03     1.452e-02  
  182        1731   -6.107017e-01     3.417e-07     8.235e-02     3.622e-03     1.482e-02  
  183        1741   -6.107022e-01     4.067e-07     8.235e-02     3.568e-03     1.663e-02  
  184        1751   -6.107027e-01     4.631e-07     8.235e-02     3.511e-03     1.747e-02  
  185        1761   -6.107031e-01     5.097e-07     8.235e-02     3.458e-03     1.765e-02  
  186        1771   -6.107036e-01     5.467e-07     8.235e-02     3.409e-03     1.872e-02  
  187        1780   -6.107043e-01     6.818e-07     1.176e-01     4.823e-03     1.888e-02  
  188        1789   -6.107050e-01     8.010e-07     1.176e-01     4.675e-03     1.976e-02  
  189        1798   -6.107057e-01     8.871e-07     1.176e-01     4.533e-03     1.993e-02  
  190        1807   -6.107064e-01     9.491e-07     1.176e-01     4.455e-03     1.994e-02  
  191        1815   -6.107073e-01     1.236e-06     1.681e-01     6.317e-03     1.977e-02  
  192        1824   -6.107079e-01     1.243e-06     1.176e-01     4.304e-03     1.960e-02  
  193        1832   -6.107088e-01     1.428e-06     1.681e-01     6.110e-03     1.912e-02  
  194        1840   -6.107097e-01     1.580e-06     1.681e-01     6.064e-03     1.867e-02  
  195        1848   -6.107106e-01     1.680e-06     1.681e-01     5.966e-03     1.813e-02  
  196        1856   -6.107114e-01     1.746e-06     1.681e-01     5.922e-03     1.752e-02  
  197        1863   -6.107125e-01     2.301e-06     2.401e-01     8.452e-03     1.663e-02  
  198        1871   -6.107133e-01     2.228e-06     1.681e-01     5.771e-03     1.608e-02  
  199        1878   -6.107143e-01     2.548e-06     2.401e-01     8.243e-03     1.510e-02  
  200        1885   -6.107153e-01     2.771e-06     2.401e-01     8.193e-03     1.429e-02  
  201        1892   -6.107163e-01     2.871e-06     2.401e-01     8.055e-03     1.344e-02  
  202        1899   -6.107173e-01     2.904e-06     2.401e-01     8.022e-03     1.301e-02  
  203        1906   -6.107182e-01     2.895e-06     2.401e-01     8.033e-03     1.311e-02  
  204        1914   -6.107188e-01     2.634e-06     1.681e-01     5.628e-03     1.320e-02  
