problem2
*********** generating gradients please wait ***********


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   89     152    1.210574e-01    6.738e-06    1.023e-02    6.190e-02
   90     154    1.210409e-01    4.246e-06    8.843e-03    4.961e-02

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   91     155    1.210384e-01    2.693e-06    4.940e-03    8.086e-03
   92     156    1.210351e-01    2.206e-06    5.255e-03    1.034e-02
   93     157    1.210337e-01    1.294e-05    1.447e-03    1.761e-02
   94     159    1.210375e-01    3.587e-06    2.680e-03    2.658e-02
   95     161    1.210431e-01    1.679e-06    8.626e-03    2.463e-02
   96     162    1.210460e-01    4.260e-06    7.043e-03    1.338e-02
   97     163    1.210459e-01    1.526e-07    1.291e-03    3.070e-03
   98     164    1.210456e-01    2.420e-07    9.101e-04    2.988e-03
   99     165    1.210448e-01    4.192e-07    7.450e-04    4.145e-03
  100     166    1.210432e-01    1.250e-06    7.579e-04    7.318e-03
  101     167    1.210403e-01    3.945e-06    1.562e-03    1.331e-02
  102     168    1.210350e-01    1.318e-05    4.744e-03    2.621e-02
  103     170    1.210257e-01    4.407e-06    1.316e-02    5.111e-02
  104     172    1.210126e-01    1.777e-05    2.363e-02    8.622e-02
  105     174    1.210036e-01    1.186e-05    2.825e-02    9.435e-02
  106     175    1.210063e-01    3.681e-05    1.328e-02    4.754e-02
  107     176    1.210136e-01    6.057e-06    4.241e-03    1.496e-02
  108     177    1.210132e-01    3.963e-06    5.525e-04    1.041e-02
  109     178    1.210132e-01    2.534e-06    1.632e-03    4.012e-03
  110     179    1.210133e-01    6.106e-07    1.165e-03    1.494e-03
  111     181    1.210135e-01    6.947e-09    1.074e-03    1.635e-03
  112     183    1.210136e-01    1.036e-08    1.569e-03    2.094e-03
  113     185    1.210137e-01    3.418e-08    1.884e-03    4.919e-03
  114     187    1.210137e-01    1.190e-07    1.690e-03    1.100e-02
  115     189    1.210135e-01    1.279e-06    2.911e-03    2.727e-02
  116     191    1.210125e-01    3.506e-06    6.909e-03    6.912e-02
  117     196    1.210118e-01    7.156e-06    8.117e-03    2.238e-02
  118     203    1.210123e-01    8.281e-08    1.773e-04    4.285e-02
  119     204    1.205625e-01    1.417e-03    1.039e-02    6.297e-01
  120     206    1.205394e-01    1.098e-03    4.602e-02    2.515e-01

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  121     208    1.205325e-01    8.345e-04    2.845e-02    3.000e-01
  122     210    1.205358e-01    6.312e-04    3.007e-02    2.022e-01
  123     211    1.205387e-01    3.628e-04    1.009e-02    2.261e-01
  124     212    1.205417e-01    2.311e-05    3.942e-03    6.142e-02
  125     213    1.205424e-01    9.124e-06    3.793e-03    3.088e-02
  126     214    1.205430e-01    5.823e-07    3.710e-03    5.672e-03
  127     215    1.205431e-01    2.910e-07    3.107e-03    3.233e-03
  128     217    1.205432e-01    1.561e-09    2.048e-03    5.318e-03
  129     219    1.205432e-01    3.862e-09    1.169e-03    4.107e-03
  130     221    1.205431e-01    4.173e-08    9.810e-04    5.898e-03
  131     223    1.205430e-01    3.025e-07    1.222e-03    8.267e-03
  132     225    1.205431e-01    2.420e-06    5.042e-03    1.370e-02
  133     232    1.205436e-01    4.157e-07    5.039e-05    2.032e-02
  134     233    1.204747e-01    1.216e-02    6.105e-02    2.584e-01
  135     234    1.204826e-01    2.437e-03    2.686e-02    2.492e-01
  136     235    1.204986e-01    8.622e-05    1.673e-02    6.876e-02
  137     240    1.204948e-01    4.462e-04    2.567e-02    1.627e-01
  138     241    1.204924e-01    2.268e-04    2.474e-02    1.446e-01
  139     242    1.204912e-01    2.703e-05    1.407e-02    4.983e-02
  140     243    1.204884e-01    3.061e-05    6.577e-03    5.355e-02
  141     244    1.204878e-01    7.622e-06    2.763e-03    3.137e-02
  142     245    1.204876e-01    1.384e-06    2.540e-03    1.000e-02
  143     247    1.204876e-01    9.415e-07    2.958e-03    4.475e-03
  144     249    1.204877e-01    9.905e-08    3.488e-03    1.505e-02
  145     251    1.204877e-01    1.359e-07    3.260e-03    1.528e-02
  146     258    1.204878e-01    5.141e-08    7.305e-06    2.878e-02
  147     259    1.204804e-01    6.626e-05    5.895e-03    7.182e-02
  148     261    1.204806e-01    2.181e-05    5.975e-03    2.755e-02
  149     264    1.204806e-01    1.983e-05    5.754e-03    2.324e-02
  150     267    1.204806e-01    1.667e-05    4.487e-03    1.642e-02

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  151     269    1.204806e-01    1.039e-05    2.203e-03    1.925e-02
  152     270    1.204807e-01    1.788e-06    3.405e-04    1.264e-02
  153     271    1.204807e-01    4.285e-08    3.054e-04    1.501e-03
  154     273    1.204807e-01    8.940e-09    3.768e-04    3.590e-03
  155     275    1.204807e-01    5.587e-09    5.430e-04    2.842e-03
  156     277    1.204807e-01    1.531e-08    6.567e-04    3.921e-03
  157     279    1.204807e-01    1.982e-08    1.085e-03    4.292e-03
  158     286    1.204807e-01    4.740e-09    4.854e-06    6.251e-03
  159     293    1.204807e-01    1.204e-08    1.020e-05    6.538e-03
  160     300    1.204806e-01    2.818e-08    1.162e-05    1.048e-02
  161     307    1.204806e-01    2.005e-08    4.076e-06    8.624e-03
  162     318    1.204805e-01    7.902e-09    3.625e-06    1.000e-02
  163     329    1.204805e-01    2.354e-08    3.107e-06    9.697e-03
  164     340    1.204805e-01    9.012e-10    3.112e-06    8.711e-03
  165     342    1.204805e-01    8.198e-08    6.564e-04    2.138e-03
  166     347    1.204805e-01    1.644e-07    7.440e-04    8.132e-04
  167     354    1.204805e-01    8.526e-11    3.215e-06    2.305e-03
